,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
112,How would I provide any kind of data?,"The gun cult and their stooges won't allow it to be released.
      ",cult,group,y,1,group,,,,,
113,SITES/SERVICES >,"News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
      ",seeds,actions,n,0,causes,,causes,,,
114,"People in poverty cope by pooling resources, by trimming waste any way they can, by coordinating efforts and use of limited items.","Greed is not considered an awful vice in poor communities--everyone reacts differently to the invisible squeeze of poverty.
      ",squeeze,stress,n,0,deprivations,,deprivations,,,
115,"Thursday, Jan 15, 2009 01:15 EST","Conservative Kudlow dishes on Obama dinner
      ",dishes,not metaphorical,n,0,gossips,,gossips,,Verb not noun,
116,"And no one would have even known that, if his wife would have never gotten one more hole in the head than he ever bargained for.","Now his space shuttle is in a museum, so he's trying to fly on the coat-tails of BHO's one-way anti-gun trip to Utopia.
      ",trip,policy,y,1,policy,,,,Another quite weird one,
117,The protocol was recommended for adoption by the National Institute on Clinical Excellence (NICE)—the NHS’s rationing and quality oversight board—and there you go; problem solved.1 Except it wasn’t.,"Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line.
      ",remedy,solution,y,1,solution,,,,,
118,Public bureaucracies warrant the attention of political scientists because bureaucrats help determine the contents and effectiveness of public policies.,"Although the relationships between them and the other participants in public policy making can theoretically range from bureaucratic dominance, or at least autonomy, to passive bureaucratic subservience, most political scientists tend to treat American bureaucrats as significant but not commanding partners in the interplay of checks and balances in the political process.
      ",subservience,I couldn't come up with a target.,n,0,passivity,,passivity,,,
119,“A primary implication of our results is that a non-benevolent government will wish to decrease the salience of taxes and that voters facing a non-benevolent government will wish to keep taxes' salience high--even if the forms of taxation that are highly salient cause inconvenience and animus such as that generated by the property tax.”,"Using a trusty “Academic to English” translator, you get this: “A primary implication of our results is that a government which seeks to prioritize and advance its own internal interests over the interests of citizens will want to reduce the visibility of taxation.
      ",visibility,awareness,y,1,awareness,,,,,
120,"It begins with the Louisiana Purchase in 1803, the establishment of the Dakota Territory in 1861, and most importantly with the Homestead Act of 1862.","About 1876, a new tide of immigration into the Dakotas began, as would-be farmers and ranchers from the East Coast and from northern Europe found their way into the rich grasslands of the high plains.
      ",tide,increase,y,1,increase,,,,,
121,"Depending on where you’re from and what you want to do, the level of difficulty varies.","You’re bound to experience the Kafkaesque horrors of Czech bureaucracy eventually – there’s really no way of escaping it.
      ",horrors,frustrations,y,1,difficulties,,difficulties,,,
122,"Thursday, June 19, 2008","Terror as an election tool in Zimbabwe In March, the Zimbabwe election commission confirmed that Robert Mugabe and his party, ZANU-PF, had lost control of Parliament.
      ",tool,violence,n,0,method,,method,,"""Influence"" is the literal meaning of ""tool"", and ""terror"" is the target",Corrected annotation to literal interpretation (but still n)
123,2.,"APPLICATIONS OF BEAMLET MIGRATION: (1) Directional illumination analysis and acquisition aperture efficacy using beamlet decomposition (2) Target oriented prestack depth migration using beamlet propagators (3) Local reflection analysis by prestack beamlet migration (4) Angle-gather and local reflection analysis by beam decomposition with prestack GSP (generalized screen propagator) migration
      ",depth,not metaphorical,y,1,N/A,not that metaphorical,,,Not metaphorical,
124,"But after sacrificing blood and treasure to try out our cures in Kabul and Baghdad, in Cairo and Benghazi, it appears that not only are we are nowhere near a solution, but that there is no solution to be found.","The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
      ",cure,democratic institutions ,n,0,solution,,solution,,,Corrected annotation to literal interpretation (but still n)
125,[EMPTY],"In the chart below, also set for end date 21 December 2012, you can see the pattern of the wave for the invasion of Poland on 1st September 1939.
      ",wave,trend,y,1,trend,,,,,
126,"Germany’s IAB, a research institute, predicts that 100,000 to 180,000 will go to Germany this year.","“This cannot be called poverty migration,” insists Herbert Brücker of the IAB.
      ",migration,I couldn't come up with a target.,n,0,movement,,immigration,,Questionable whether to consider this metaphorical,
